"filename", "language", "PHP", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\.idea\misc.xml", "XML", 0, 0, 0, 6, 0, 0, 6
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 8
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 6
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\.idea\web_programming(3).iml", "XML", 0, 0, 0, 8, 0, 0, 8
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\.idea\workspace.xml", "XML", 0, 0, 0, 56, 0, 0, 56
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\account.php", "PHP", 71, 0, 0, 0, 15, 6, 92
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\add_product.php", "PHP", 71, 0, 0, 0, 0, 11, 82
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\admin_products.php", "PHP", 78, 0, 0, 0, 9, 11, 98
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\basket.php", "PHP", 81, 0, 0, 0, 5, 14, 100
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\connection.php", "PHP", 235, 0, 0, 0, 70, 40, 345
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\create_account.php", "PHP", 215, 0, 0, 0, 5, 38, 258
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\create_account_validation.php", "PHP", 63, 0, 0, 0, 15, 11, 89
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\decide_account.php", "PHP", 19, 0, 0, 0, 6, 1, 26
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\delete_account.php", "PHP", 165, 0, 0, 0, 22, 21, 208
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\display_product.php", "PHP", 142, 0, 0, 0, 2, 21, 165
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\footer.php", "PHP", 18, 0, 0, 0, 4, 2, 24
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\header.php", "PHP", 37, 0, 0, 0, 9, 9, 55
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\home.php", "PHP", 43, 0, 0, 0, 2, 9, 54
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\log-in.php", "PHP", 43, 0, 0, 0, 27, 18, 88
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\logged-in.php", "PHP", 111, 0, 0, 0, 11, 27, 149
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\ordered.php", "PHP", 98, 0, 0, 0, 24, 20, 142
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\html\products.php", "PHP", 116, 0, 0, 0, 18, 15, 149
